
     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
  Freq. No. =   1,  f = 0.4000D+05 (Hz),  k = (0.7327D+03, 0.0000D+00):

 Solution on the Boundary:

 Element #            Pressure              SPL (dB)             Velocity            SIL (dB_SIL)
         1  ( 0.67595E+01,-0.37912E+01)   0.11177E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
         2  ( 0.88175E+01,-0.49924E+01)   0.11409E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
         3  ( 0.89392E+00, 0.90850E+01)   0.11319E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
         4  (-0.33090E+02, 0.38592E+02)   0.12810E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
         5  (-0.35499E+02, 0.36924E+02)   0.12817E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
         6  ( 0.18292E+01, 0.54769E+01)   0.10921E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
         7  (-0.22446E+02, 0.39026E+02)   0.12705E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
         8  (-0.19444E+02, 0.32863E+02)   0.12562E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
         9  (-0.24328E+01, 0.86750E+01)   0.11307E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        10  (-0.98821E+00, 0.77786E+01)   0.11187E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        11  ( 0.23023E+02,-0.24999E+02)   0.12461E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        12  ( 0.23008E+02,-0.22678E+02)   0.12417E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        13  ( 0.31718E+02,-0.35754E+02)   0.12757E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        14  (-0.33969E+02, 0.43227E+02)   0.12878E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        15  (-0.36001E+02, 0.41971E+02)   0.12883E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        16  ( 0.31118E+02,-0.37423E+02)   0.12772E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        17  ( 0.37865E+01, 0.11355E+01)   0.10592E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        18  ( 0.42477E+01, 0.52557E-01)   0.10654E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        19  ( 0.28892E+02,-0.35136E+02)   0.12714E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        20  ( 0.29085E+02,-0.34967E+02)   0.12714E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        21  (-0.12674E+02, 0.21660E+02)   0.12197E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        22  ( 0.35064E+02,-0.44297E+02)   0.12902E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        23  (-0.18156E+02, 0.32914E+02)   0.12548E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        24  (-0.99518E+01, 0.23463E+02)   0.12211E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        25  (-0.87639E+01, 0.19630E+02)   0.12063E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        26  (-0.14142E+01, 0.83519E+01)   0.11254E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        27  (-0.16315E+02, 0.28971E+02)   0.12442E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        28  (-0.16386E+02, 0.30583E+02)   0.12479E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        29  (-0.26186E+02, 0.28377E+02)   0.12571E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        30  (-0.20869E+02, 0.22387E+02)   0.12370E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        31  (-0.19053E+02, 0.60875E+01)   0.12000E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        32  (-0.24158E+02, 0.11841E+02)   0.12258E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        33  ( 0.48508E-01,-0.25999E+01)   0.10228E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        34  (-0.72253E+01, 0.45837E+01)   0.11263E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        35  (-0.25556E+02, 0.23944E+02)   0.12487E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        36  (-0.20546E+02, 0.18710E+02)   0.12286E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        37  ( 0.18114E+02,-0.19714E+02)   0.12253E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        38  (-0.66278E+00, 0.57570E+01)   0.10924E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        39  ( 0.28185E+02,-0.35919E+02)   0.12717E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        40  (-0.26671E+01, 0.90039E+01)   0.11343E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        41  (-0.20432E+01, 0.69171E+01)   0.11114E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        42  ( 0.31481E+02,-0.34878E+02)   0.12742E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
        43  (-0.24548E+02, 0.42114E+02)   0.12774E+03  ( 0.00000E+00, 0.00000E+00)   0.00000E+00
